CustomerID,Recency_z,Frequency_z,Monetary_z,Cluster
12346,1.4619928068665424,-0.9552142636712972,3.706224757964733,0
12347,-2.038734417842785,1.0744251947249353,1.4118434147518817,2
12348,0.3731042355677808,0.3863044476016776,0.7164888979635673,0
12349,-0.6230859205766931,-0.9552142636712972,0.6987393965706065,0
12350,1.4245575339360348,-0.9552142636712972,-0.6189621983854184,1
12352,-0.164028700972232,1.2468684386726128,0.9807530398031788,2
12353,1.1135502505032524,-0.9552142636712972,-1.665152749927305,1
12354,1.2090862834765006,-0.9552142636712972,0.3113164558828216,1
12355,1.1490907416248033,-0.9552142636712972,-0.3670426842081103,1
12356,-0.4870358868672529,0.0596054655268191,1.0721663668593706,0
12357,-0.2271262067959733,-0.9552142636712972,1.7019399066858607,0
12358,-2.038734417842785,-0.3615827770984003,0.3740384337727435,0
12359,0.1841671134665053,0.3863044476016776,1.7227876382863767,0
12360,0.10413950578058,0.0596054655268191,1.0287659987482876,0
12361,1.3672244617898772,-0.9552142636712972,-1.0671564690505555,1
12362,-1.824063391865872,1.54066546553549,1.5651014060680637,2
12363,0.6557659603678762,-0.3615827770984003,-0.2212994337132028,1
12364,-1.2189397565026774,0.3863044476016776,0.4670470029951346,0
12365,1.377517166470927,-0.3615827770984003,-0.1021502888784577,1
12367,-1.6575516078937147,-0.9552142636712972,-1.1598371387909876,0
12370,0.0899255663351436,0.3863044476016776,1.2566421652734494,0
12371,-0.0015614215275583,-0.3615827770984003,0.7556305597302234,0
12372,0.343051479153905,0.0596054655268191,0.4578803169323063,0
12373,1.4269530713337628,-0.9552142636712972,-0.5503971036373981,1
12374,-0.4273072773233673,-0.9552142636712972,0.0145692134320036,0
12375,-1.0042687305257638,-0.3615827770984003,-0.3703314369566943,0
12377,1.4364590503135464,-0.3615827770984003,0.6379412195275609,1
12378,0.7793883005555002,-0.9552142636712972,1.3542073887996635,0
12379,0.4388506943278125,-0.3615827770984003,0.1235960636615237,0
12380,-0.5187942651860693,0.3863044476016776,1.0472877014532698,0
12381,-1.5215015741842748,0.6532369520997158,0.7374686644943922,2
12383,1.0409714714796316,0.6532369520997158,0.7397268167020714,0
12384,-0.3205241028950956,-0.3615827770984003,-0.1748377549559442,0
12386,1.488886141147174,-0.3615827770984003,-0.4731376567518396,1
